strategy,market,asset,signal_date,entry_date,exit_date,signal_value,gross_pct,net_pct
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-07-13,2012-07-16,2012-07-16,1.521736778702465,-0.43478260869563856,-0.6447826086956385
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-07-18,2012-07-19,2012-07-19,1.3536887597200176,0.3950103950103978,0.18501039501039782
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-07-19,2012-07-20,2012-07-20,1.1026667281289537,-0.1239413344350404,-0.33394133443504037
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-07-26,2012-07-27,2012-07-27,1.3271205741897996,0.9958506224066355,0.7858506224066355
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-07-27,2012-07-30,2012-07-30,2.3670916519809237,0.020366598777998846,-0.18963340122200115
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-08-03,2012-08-06,2012-08-06,1.894982982657667,0.05976095617530319,-0.1502390438246968
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-08-16,2012-08-17,2012-08-17,1.1901132518456592,-1.1051829268292734,-1.3151829268292734
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-09-06,2012-09-07,2012-09-07,2.219956206477147,0.8721506442021854,0.6621506442021854
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-09-13,2012-09-14,2012-09-14,1.3550421550702296,1.1039208222306751,0.8939208222306751
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-09-27,2012-09-28,2012-09-28,1.3783318239507514,-0.18968133535659515,-0.3996813353565951
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-10-16,2012-10-17,2012-10-17,1.4143335351939568,0.03903200624510994,-0.17096799375489005
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-11-01,2012-11-02,2012-11-02,1.4164857487919624,0.09956192751889859,-0.11043807248110141
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-11-19,2012-11-20,2012-11-20,2.375609819239588,-0.301083902047361,-0.511083902047361
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-11-23,2012-11-26,2012-11-26,1.5172723638555041,-0.3369005152596083,-0.5469005152596083
